sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,550,,0.043695,22.886,3.83e-8,0.010428,0.80098,1e-10,0.000036592,3.2368,0.06127,,0
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,600,,0.052054,19.211,3.81e-8,0.0091788,0.76971,1e-10,0.000046786,2.9026,0.10254,,0
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,650,,0.061589,16.237,3.78e-8,0.00793,0.7357,2e-10,0.000059383,2.5652,0.15081,,1e-10
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,700,,0.073314,13.64,3.76e-8,0.0066812,0.69966,4e-10,0.000074576,2.2126,0.21815,,2e-10
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,750,,0.089107,11.222,3.73e-8,0.0054323,0.65749,8e-10,0.000092904,1.8488,0.33893,,4e-10
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,800,,0.11192,8.935,3.71e-8,0.0041835,0.59491,1.5e-9,0.00011545,1.5064,0.57856,,1e-9
5919,10.1002/aelm.201600019,2133,3(c),3211,x=0.05,(SnTe)0.95(Cu2Te)0.05,850,,,,3.68e-8,0.0029347,,,0.00014406,1.2579,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,300,,,,,,1.1594,,,4.4093,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,350,,0.015949,62.7,2.69e-8,0.013451,0.8468,0,0.000012481,4.2125,0.012795,,0
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,400,,0.018749,53.336,2.9e-8,0.012698,0.74557,0,0.000015106,3.9266,0.018204,,0
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,450,,0.021365,46.806,3.1e-8,0.011945,0.71675,0,0.000019174,3.6094,0.027685,,0
