sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Electronic thermal conductivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,450,,13992,0.000071469,,,,,0.0010769,0.00027742,0.56863,0.8699,,0.0018938501
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,500,,14523,0.000068856,,,,,0.0010982,0.00027499,0.58158,0.95995,,0.0018883043
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,550,,15054,0.000066428,,,,,0.0011184,0.00027257,0.59453,1.05,,0.0018811498
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,600,,15585,0.000064164,,,,,0.0011373,0.00027014,0.60748,1.14,,0.0018721604
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20835,x=0.01_y=0,Na0.01Ag0.99SbTe2,650,,16116,0.00006205,,,,,0.0011551,0.00026772,0.62043,1.2301,,0.0018617733
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,350,,12336,0.000081064,,,,,0.00094121,0.00027622,0.60862,0.55632,,0.0015464658
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,400,,12790,0.000078186,,,,,0.0009695,0.00027532,0.62351,0.63765,,0.0015549069
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,450,,13243,0.000075512,,,,,0.00099728,0.00027442,0.6384,0.71898,,0.0015621554
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,500,,13697,0.000073009,,,,,0.0010247,0.00027352,0.6533,0.80031,,0.0015684984
1676,10.1016/j.jallcom.2010.10.131,17345,5(a),20836,x=0.02_y=0,Na0.02Ag1.98SbTe2,550,,14151,0.000070666,,,,,0.0010517,0.00027262,0.66819,0.88164,,0.0015739535
