sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,400,,309770,0.00010376,5.0682,0.25121,,0.0000032282,0.0033350264,0.0006580298
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,450,,293430,0.00011147,4.9689,0.32796,,0.000003408,0.0036460323,0.0007337705
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,500,,277080,0.00011918,4.8695,0.40472,,0.0000036091,0.003935609,0.0008082162
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,550,,260740,0.00012688,4.7702,0.48147,,0.0000038352,0.0041975319,0.0008799488
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,600,,244390,0.00013459,4.6709,0.55823,,0.0000040918,0.0044269949,0.000947782
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,650,,228050,0.0001423,4.5716,0.63498,,0.000004385,0.0046178506,0.0010101169
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,700,,211700,0.00015001,4.4722,0.71173,,0.0000047237,0.0047638851,0.0010652218
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,750,,195360,0.00015772,4.3729,0.78849,,0.0000051188,0.0048596969,0.0011113213
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,800,,179010,0.00016542,4.2736,0.86524,,0.0000055863,0.0048983896,0.0011461975
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,850,,162670,0.00017313,4.1742,0.942,,0.0000061474,0.0048758701,0.0011680969
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,900,,146320,0.00018084,4.0749,1.0188,,0.0000068343,0.0047851184,0.001174291
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,950,,129980,0.00018855,3.9756,1.0955,,0.0000076935,0.0046209323,0.0011623232
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,1000,,113630,0.00019626,3.8763,1.1723,,0.0000088005,0.0043767989,0.0011291177
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,1050,,97289,0.00020396,3.7769,1.249,,0.0000102787,0.0040471914,0.0010715644
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,1100,,80944,0.00021167,3.6776,1.3258,,0.0000123542,0.0036266303,0.0009861405
27925,10.1002/advs.201600035,25415,3a,31642,Fe1+xNb0.75Ti0.25Sb_ x=0.05,Fe1.05Nb0.75Ti0.25Sb,1150,,64599,0.00021938,3.5783,1.4025,,0.0000154801,0.0031089938,0.0008688466
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,350,,285910,0.00010333,5.0091,0.18206,,0.0000034976,0.0030526865,0.0006094281
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,400,,272190,0.00011093,4.9194,0.25613,,0.0000036739,0.0033494245,0.0006808604
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,450,,258480,0.00011853,4.8296,0.33021,,0.0000038688,0.0036314788,0.0007519212
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,500,,244770,0.00012613,4.7399,0.40428,,0.0000040855,0.0038939913,0.0008215345
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,550,,231060,0.00013373,4.6501,0.47836,,0.0000043279,0.0041322107,0.0008886284
27925,10.1002/advs.201600035,25415,3a,31643,Fe1+xNb0.75Ti0.25Sb_ x=0.08,Fe1.08Nb0.75Ti0.25Sb,600,,217350,0.00014133,4.5604,0.55243,,0.0000046009,0.0043413856,0.0009519747
