sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,500,0.00041146,88729,0.00018499,3.4486,0.45606,0.0000112703,0.0030364217,0.0008804795
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,550,0.00035325,82994,0.00019084,3.4071,0.5094,0.0000120491,0.0030226336,0.0008871573
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,600,0.00029504,77258,0.00019668,3.3655,0.56274,0.0000129436,0.0029885729,0.0008880027
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,650,0.00023683,71523,0.00020252,3.324,0.61608,0.0000139815,0.0029334694,0.0008825118
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,700,0.00017862,,0.00020837,3.2824,0.66942,,,
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,750,0.00012041,,0.00021421,3.2409,0.72276,,,
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,800,0.000062204,,0.00022005,3.1994,0.7761,,,
5936,10.1002/aenm.201400600,25508,2a,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,850,,,0.0002259,3.1578,0.82944,,,
5936,10.1002/aenm.201400600,25509,2b,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,300,0.00064429,111670,,3.6148,,0.000008955,,
5936,10.1002/aenm.201400600,25510,2C,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,50,0.00093534,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,100,0.00087713,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,150,0.00081892,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,200,0.00076071,,,,,,,
5936,10.1002/aenm.201400600,25510,2C,31762,Fe(V0.6Nb0.4)1−xTixSb_ x=0.20,Fe(V0.6Nb0.4)0.80Ti0.20Sb,250,0.0007025,,,,,,,
5936,10.1002/aenm.201400600,25508,2a,31763,Fe(V0.6Nb0.4)1−xTixSb x=0.24,Fe(V0.6Nb0.4)0.76Ti0.24Sb,350,0.00043666,86710,0.00015523,3.5331,0.2066,0.0000115327,0.0020893948,0.0005913772
5936,10.1002/aenm.201400600,25508,2a,31763,Fe(V0.6Nb0.4)1−xTixSb x=0.24,Fe(V0.6Nb0.4)0.76Ti0.24Sb,400,0.00041228,84109,0.00016089,3.5004,0.2579,0.0000118893,0.0021772113,0.0006219893
5936,10.1002/aenm.201400600,25508,2a,31763,Fe(V0.6Nb0.4)1−xTixSb x=0.24,Fe(V0.6Nb0.4)0.76Ti0.24Sb,450,0.0003879,81508,0.00016655,3.4677,0.3092,0.0000122687,0.0022609425,0.0006520006
5936,10.1002/aenm.201400600,25508,2a,31763,Fe(V0.6Nb0.4)1−xTixSb x=0.24,Fe(V0.6Nb0.4)0.76Ti0.24Sb,500,0.00036352,78907,0.00017221,3.435,0.3605,0.0000126731,0.0023400884,0.0006812484
5936,10.1002/aenm.201400600,25508,2a,31763,Fe(V0.6Nb0.4)1−xTixSb x=0.24,Fe(V0.6Nb0.4)0.76Ti0.24Sb,550,0.00033914,76305,0.00017787,3.4022,0.4118,0.0000131053,0.0024141175,0.0007095754
