sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.15e+27,,0.00018892,,0.00010846,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.2e+27,,0.00019039,,0.00010736,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.25e+27,,0.00019186,,0.00010625,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.3e+27,,0.00019332,,0.00010514,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.35e+27,,0.00019479,,0.00010404,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.4e+27,,0.00019626,,0.00010293,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.45e+27,,0.00019772,,0.00010182,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.5e+27,,0.00019919,,0.00010072,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.55e+27,,0.00020066,,0.000099611,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.6e+27,,0.00020212,,0.000098505,,,
27920,10.1016/j.jallcom.2018.04.214,26253,6(e),32922,800 K,undefined,,2.65e+27,,,,0.000097398,,,
