sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,347.5,0.000038908,0.6031,0.001843,0.00026677,0.74008,0.87199,25701.655186594,0.0024902713
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,348,0.00003886,0.60299,0.0018438,0.00026664,0.74065,0.87289,25733.4019557386,0.002489435
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,348.5,0.000038813,0.60289,0.0018447,0.00026651,0.74123,0.87379,25764.5634194729,0.0024887012
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,349,0.000038766,0.60278,0.0018455,0.00026638,0.7418,0.87469,25795.8004436878,0.0024878673
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,349.5,0.000038718,0.60267,0.0018464,0.00026625,0.74237,0.87559,25827.7803605558,0.0024871695
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,350,0.000038671,0.60256,0.0018472,0.00026612,0.74294,0.87649,25859.1709549792,0.0024863381
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,350.5,0.000038624,0.60246,0.0018481,0.00026598,0.74352,0.87739,25890.637945319,0.002485609
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,351,0.000038577,0.60235,0.0018489,0.00026585,0.74409,0.87829,25922.1816108044,0.0024847801
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,351.5,0.000038529,0.60224,0.0018498,0.00026572,0.74466,0.87919,25954.4758493602,0.0024840867
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,352,0.000038482,0.60213,0.0018506,0.00026559,0.74523,0.8801,25986.1753547113,0.0024832602
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,352.5,0.000038435,0.60202,0.0018515,0.00026546,0.7458,0.881,26017.9523871471,0.0024825691
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,353,0.000038387,0.60192,0.0018523,0.00026532,0.74638,0.8819,26050.4858415609,0.0024817117
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,353.5,0.00003834,0.60181,0.0018532,0.00026519,0.74695,0.8828,26082.4204486176,0.0024810228
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,354,0.000038293,0.6017,0.001854,0.00026506,0.74752,0.8837,26114.4334473664,0.0024802012
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,354.5,0.000038245,0.60159,0.0018549,0.00026493,0.74809,0.8846,26147.2087854622,0.0024795145
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,355,0.000038198,0.60148,0.0018557,0.0002648,0.74867,0.8855,26179.3811194303,0.0024786622
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,355.5,0.000038151,0.60138,0.0018566,0.00026466,0.74924,0.8864,26211.6327226023,0.0024779777
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,356,0.000038103,0.60127,0.0018574,0.00026453,0.74981,0.8873,26244.6526520222,0.0024771609
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,356.5,0.000038056,0.60116,0.0018583,0.0002644,0.75038,0.8882,26277.0653773387,0.0024764786
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,357,0.000038009,0.60105,0.0018591,0.00026427,0.75095,0.8891,26309.5582625168,0.0024756642
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,357.5,0.000037962,0.60094,0.00186,0.00026414,0.75153,0.89,26342.1316052895,0.0024749511
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,358,0.000037914,0.60084,0.0018609,0.000264,0.7521,0.8909,26375.4813525347,0.002474272
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,358.5,0.000037867,0.60073,0.0018617,0.00026387,0.75267,0.89181,26408.2182375155,0.0024734611
