sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.1e+26,,0.00014323,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.15e+26,,0.00014288,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.2e+26,,0.00014253,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.25e+26,,0.00014218,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.3e+26,,0.00014182,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.35e+26,,0.00014147,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.4e+26,,0.00014112,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.45e+26,,0.00014076,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.5e+26,,0.00014041,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.55e+26,,0.00014006,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.6e+26,,0.00013971,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.65e+26,,0.00013935,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.7e+26,,0.000139,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.75e+26,,0.00013865,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.8e+26,,0.00013829,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.85e+26,,0.00013794,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.9e+26,,0.00013759,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,6.95e+26,,0.00013723,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7e+26,,0.00013688,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.05e+26,,0.00013653,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.1e+26,,0.00013618,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.15e+26,,0.00013582,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.2e+26,,0.00013547,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.25e+26,,0.00013512,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,7.3e+26,,0.00013476,,,,,
