sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall concentration,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,340.5,44266,22636000000000,-0.00022963,0.84922,0.83773,0.0000225907,0.0023341434,0.0027485733
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,341,44231,22668000000000,-0.00022957,0.84999,0.83736,0.0000226086,0.0023310792,0.0027424784
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,341.5,44196,22700000000000,-0.00022952,0.85077,0.83698,0.0000226265,0.0023282201,0.0027366034
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,342,44161,22732000000000,-0.00022946,0.85155,0.83661,0.0000226444,0.0023251602,0.0027305034
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,342.5,44126,22765000000000,-0.0002294,0.85232,0.83623,0.0000226624,0.0023221025,0.0027244492
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,343,44091,22797000000000,-0.00022934,0.8531,0.83586,0.0000226804,0.0023190471,0.0027183766
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,343.5,44056,22829000000000,-0.00022929,0.85387,0.83548,0.0000226984,0.0023161959,0.0027125861
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,344,44021,22862000000000,-0.00022923,0.85465,0.83511,0.0000227164,0.0023131448,0.0027065404
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,344.5,43986,22894000000000,-0.00022917,0.85543,0.83473,0.0000227345,0.0023100958,0.0027005083
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,345,43951,22926000000000,-0.00022911,0.8562,0.83436,0.0000227526,0.0023070492,0.0026945213
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,345.5,43916,22958000000000,-0.00022906,0.85698,0.83398,0.0000227707,0.0023042059,0.0026887511
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,346,43881,22991000000000,-0.000229,0.85775,0.8336,0.0000227889,0.0023011635,0.0026827905
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,346.5,43846,23023000000000,-0.00022894,0.85853,0.83323,0.0000228071,0.0022981234,0.0026768119
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,347,43811,23055000000000,-0.00022889,0.85931,0.83285,0.0000228253,0.002295286,0.0026710803
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,347.5,43776,23087000000000,-0.00022883,0.86008,0.83248,0.0000228436,0.0022922501,0.0026651592
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,348,43741,23120000000000,-0.00022877,0.86086,0.8321,0.0000228618,0.0022892164,0.0026592203
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,348.5,43706,23152000000000,-0.00022871,0.86163,0.83173,0.0000228802,0.002286185,0.0026533257
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,349,43671,23184000000000,-0.00022866,0.86241,0.83135,0.0000228985,0.0022833555,0.002647645
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,349.5,43635,23216000000000,-0.0002286,0.86319,0.83098,0.0000229174,0.0022802761,0.002641685
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,350,43600,23249000000000,-0.00022854,0.86396,0.8306,0.0000229358,0.0022772512,0.0026358294
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,350.5,43565,23281000000000,-0.00022848,0.86474,0.83023,0.0000229542,0.0022742285,0.0026299564
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,351,43530,23313000000000,-0.00022843,0.86552,0.82985,0.0000229727,0.0022714069,0.0026243263
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,351.5,43495,23345000000000,-0.00022837,0.86629,0.82948,0.0000229911,0.0022683885,0.0026185094
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,352,43460,23378000000000,-0.00022831,0.86707,0.8291,0.0000230097,0.0022653723,0.0026126752
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,352.5,43425,23410000000000,-0.00022826,0.86784,0.82873,0.0000230282,0.0022625566,0.0026071126
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,353,43390,23442000000000,-0.0002282,0.86862,0.82835,0.0000230468,0.0022595447,0.002601304
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,353.5,43355,23474000000000,-0.00022814,0.8694,0.82798,0.0000230654,0.002256535,0.0025955083
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,354,43320,23507000000000,-0.00022808,0.87017,0.8276,0.000023084,0.0022535275,0.0025897554
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,354.5,43285,23539000000000,-0.00022803,0.87095,0.82723,0.0000231027,0.0022507196,0.0025842122
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,355,43250,23571000000000,-0.00022797,0.87172,0.82685,0.0000231214,0.0022477164,0.0025784844
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,355.5,43215,23604000000000,-0.00022791,0.8725,0.82648,0.0000231401,0.0022447154,0.0025727397
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,356,43180,23636000000000,-0.00022785,0.87328,0.8261,0.0000231589,0.0022417166,0.0025670078
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,356.5,43145,23668000000000,-0.0002278,0.87405,0.82573,0.0000231777,0.0022389166,0.0025615429
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,357,43110,23700000000000,-0.00022774,0.87483,0.82535,0.0000231965,0.002235922,0.002555836
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,357.5,43075,23733000000000,-0.00022768,0.8756,0.82498,0.0000232153,0.0022329297,0.002550171
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,358,43040,23765000000000,-0.00022763,0.87638,0.8246,0.0000232342,0.0022301355,0.002544713
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,358.5,43005,23797000000000,-0.00022757,0.87716,0.82423,0.0000232531,0.0022271475,0.0025390436
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,359,42970,23829000000000,-0.00022751,0.87793,0.82385,0.0000232721,0.0022241616,0.0025334156
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,359.5,42934,23862000000000,-0.00022745,0.87871,0.82348,0.0000232916,0.0022211262,0.0025277124
