sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,400,0.000048337,,0.00020418,0.94924,0.41139,20688.0857314273,0.0008624754,0.0009085957
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,450,0.000045286,,0.0002085,1.0129,0.50007,22081.8796095924,0.000959949,0.0009477234
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,500,0.000042235,,0.00021283,1.0766,0.58876,23677.0451047709,0.0010724899,0.0009961823
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,550,0.000039184,,0.00021715,1.1403,0.67744,25520.6206614945,0.0012034025,0.0010553385
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,600,0.000036133,,0.00022148,1.204,0.76612,27675.5320621039,0.0013575787,0.001127557
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,650,0.000033082,,0.0002258,1.2677,0.85481,30227.9185055317,0.0015411898,0.001215737
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,700,0.00003003,,0.00023012,1.3314,0.94349,33300.0333000333,0.0017634104,0.0013244783
18654,10.1038/am.2017.8,25603,5(a),31890,BixGe1−xTe_ 9.5e19,undefined,750,0.000026979,,0.00023445,1.3951,1.0322,37065.8660439601,0.0020373921,0.0014603915
18654,10.1038/am.2017.8,25605,5(c),31890,BixGe1−xTe_ 9.5e19,undefined,800,,,,1.4588,,,,
18654,10.1038/am.2017.8,25609,6(a),31891,PbTe:Na,undefined,300,,,0.000066856,,0.020234,,,
18654,10.1038/am.2017.8,25609,6(a),31891,PbTe:Na,undefined,350,,,0.000091669,,0.19892,,,
18654,10.1038/am.2017.8,25609,6(a),31891,PbTe:Na,undefined,400,,,0.00011648,,0.3776,,,
18654,10.1038/am.2017.8,25609,6(a),31891,PbTe:Na,undefined,450,,,0.0001413,,0.55628,,,
18654,10.1038/am.2017.8,25609,6(a),31891,PbTe:Na,undefined,500,,,0.00016611,,0.73496,,,
18654,10.1038/am.2017.8,25609,6(a),31891,PbTe:Na,undefined,550,,,0.00019092,,0.91364,,,
