sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,362.5,0.026413,0.0000068346,0.000078863,2.3923,0.20207,146314.3417317765,0.0009099834,0.0003803801
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,363,0.026389,0.0000068451,0.000078991,2.3878,0.20307,146089.9037267535,0.0009115394,0.0003817486
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,363.5,0.026365,0.0000068556,0.000079121,2.3833,0.20406,145866.1532178073,0.0009131415,0.0003831416
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,364,0.02634,0.0000068661,0.000079251,2.3789,0.20506,145643.0870508731,0.0009147436,0.0003845238
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,364.5,0.026316,0.0000068767,0.000079383,2.3744,0.20606,145418.587403842,0.0009163786,0.0003859411
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,365,0.026292,0.0000068874,0.000079515,2.37,0.20705,145192.6706739844,0.0009180003,0.0003873419
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,365.5,0.026268,0.0000068981,0.000079647,2.3656,0.20805,144967.454806396,0.000919622,0.0003887479
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,366,0.026244,0.0000069088,0.000079781,2.3612,0.20904,144742.9365446966,0.0009212899,0.0003901787
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,366.5,0.026219,0.0000069196,0.000079916,2.3569,0.21004,144517.0241054396,0.0009229677,0.0003916024
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,367,0.026195,0.0000069305,0.000080051,2.3525,0.21104,144289.7337854412,0.0009246321,0.0003930423
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,367.5,0.026171,0.0000069414,0.000080187,2.3482,0.21203,144063.1572881551,0.0009263196,0.0003944807
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,368,0.026147,0.0000069524,0.000080324,2.3439,0.21303,143835.2223692538,0.0009280169,0.0003959286
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,368.5,0.026123,0.0000069634,0.000080462,2.3396,0.21402,143608.0075825028,0.0009297374,0.0003973916
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,369,0.026099,0.0000069745,0.000080601,2.3353,0.21502,143379.4537242813,0.0009314677,0.0003988642
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,369.5,0.026074,0.0000069856,0.00008074,2.3311,0.21602,143151.6262024737,0.000933198,0.0004003251
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,370,0.02605,0.0000069967,0.00008088,2.3268,0.21701,142924.5215601641,0.0009349514,0.0004018185
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,370.5,0.026026,0.0000070079,0.000081021,2.3226,0.21801,142696.1001155838,0.0009367146,0.0004033043
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,371,0.026002,0.0000070192,0.000081163,2.3184,0.21901,142466.3779348074,0.0009384877,0.0004047997
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,371.5,0.025978,0.0000070305,0.000081305,2.3142,0.22,142237.394210938,0.0009402607,0.0004063005
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,372,0.025954,0.0000070419,0.000081448,2.3101,0.221,142007.1287578636,0.0009420436,0.0004077934
